 Руки ВВерх! Бар на Тверской;ул. Тверская 22;Тверская;+7 (499) 322-42-42;2000;8.8;211;https://www.restoclub.ru/uploads/menufile/b/4/d/8/b4d83a216ded0c0e7f31a125098155df.pdf;Откроется в 18:00
Бар Свобода-2105 отзывов;ул. Рождественка 6/9/20с1;Кузнецкий Мост;+7 (499) 504-42-54;2000;10;5;https://www.restoclub.ru/uploads/menufile/9/8/3/0/98301de402afb549810a9d4d7f264208.pdf;Откроется в 16:00
 Nebar/Небар9.3133 отзыва;ул. Пятницкая 66 стр2;Добрынинская;+7 (499) 302-59-15;неизвесно;9.3;133;https://www.restoclub.ru/uploads/menufile/5/a/8/a/5a8a4408e76f2f12985df1cc24c20115.pdf;Откроется в 18:00
 Burlesque/Бурлеск1041 отзыв;ш. Хорошевское 25/3;Полежаевская;+7 (495) 921-45-07;неизвесно;10;41;https://www.restoclub.ru/uploads/menufile/3/b/9/a/3b9ad33cf92e0edf6edb71485eb14a36.pdf;Откроется в 21:30
Кальянная Dukh Страстной/Дух Страстной9.854 отзыва;б-р Страстной 4 стр.5;Тверская;+7 (495) 492-02-27;неизвесно;9.8;54;https://www.restoclub.ru/uploads/menufile/6/d/f/6/6df615410e94a908d26f03cc90dd6f0a.pdf;Круглосуточно
Лаунж Dukh Никитская/Дух Никитская9.862 отзыва;ул. Большая Никитская 24/1 с.5;Арбатская;+7 (495) 927-69-58;неизвесно;9.8;62;https://www.restoclub.ru/uploads/menufile/e/d/9/c/ed9c5fb5ee8637f9d6a83b88a113636b.pdf;Круглосуточно
Кальянная Dukh Лубянка/Дух Лубянка9.839 отзывов;ул. Мясницкая 24/7 с1;Чистые пруды;+7 (495) 225-76-13;неизвесно;9.8;39;https://www.restoclub.ru/uploads/menufile/1/2/c/1/12c1102bd484ef36e116d8dc1dce01c5.pdf;Круглосуточно
 On the Rocks/Он зе рокс9.958 отзывов;Пушкинская площадь 2;Чеховская;+7 (915) 280-77-88;неизвесно;9.9;58;https://www.restoclub.ru/uploads/menufile/1/1/5/5/1155f48c291879cfe47daa3575daaa4e.pdf;Откроется в 19:00
Ресторан Настойкин9.632 отзыва;ул. Нижняя Красносельская 13, с.1;Красносельская;+7 (495) 859-49-42;неизвесно;9.6;32;https://www.restoclub.ru/uploads/menufile/0/1/e/6/01e6b072e936efe5efff52464fd473cd.pdf;Сегодня до 00:00
Паб Buddy McDaniel/Бадди Макдэниэл9.581 отзыв;ул. Покровка 50/2, стр.2;Курская;+7 (495) 241-40-31;неизвесно;9.5;81;https://www.restoclub.ru/uploads/menufile/8/a/7/e/8a7ec4ff58130a4ac9318aa0b24ae01d.pdf;Круглосуточно
Ресторан Viva x Adventura/Вива адвентура;ул. Покровка 1/13с1;Китай-город;+7 (499) 757-80-36;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/7/5/a/5/75a567a08df6d5caaa4df5da3b01ea93.pdf;Сегодня до 00:00
Бар Шашлыкоff1.03 отзыва;ул. Кузнецкий Мост 19с1;Кузнецкий Мост;+7 (495) 792-39-30;неизвесно;1.0;3;https://www.restoclub.ru/uploads/menufile/9/7/2/1/972147c9a8e6a1f5f3eff28abb5fcf82.pdf;Откроется в 10:00
Лаунж Smoke Dog/Смоук дог1037 отзывов;Холодильный пер. 3, с.2;Тульская;+7 (499) 455-58-09;неизвесно;10;37;https://www.restoclub.ru/uploads/menufile/b/9/f/4/b9f438c9808b80cef387782f01ae89d7.pdf;Круглосуточно
Ресторан Дымзавод Рассвет9.135 отзывов;Столярный пер. 3к14;Улица 1905 года;+7 (925) 431-47-97;неизвесно;9.1;35;https://www.restoclub.ru/uploads/menufile/9/9/0/1/9901be720d88d2c99a2ab425d3f9efa6.pdf;Сегодня до 03:00
Бар The Perch/Перч9.722 отзыва;ул. Садовническая 54, стр. 2;Новокузнецкая;+7 (495) 135-12-11;неизвесно;9.7;22;неизвесно;Откроется в 21:00
Бар MT Music Bar9.552 отзыва;ул. Новый Арбат 15;Арбатская;+7 (977) 354-15-15;неизвесно;9.5;52;https://www.restoclub.ru/uploads/menufile/6/a/c/5/6ac5c3c8fa846b807565f62a423589cb.pdf;Круглосуточно
Караоке-клуб Трели103 отзыва;Ленинградский проспект 47с2;Аэропорт;+7 (495) 927-95-76;неизвесно;10;3;https://www.restoclub.ru/uploads/menufile/3/0/3/f/303f9a6ee47afea01ca85d0484085dc6.pdf;Сегодня до 06:00
Лаунж Timeless Москва-Сити/Таймлес Москва-Сити104 отзыва;1-й Красногвардейский пр. 22, стр. 1;Деловой центр;+7 (495) 089-25-06;неизвесно;10;4;неизвесно;Сегодня до 03:00
Ресторан Ян Примус9.811 отзывов;ул. Спартаковская 23;Бауманская;+7 (495) 646-86-18;неизвесно;9.8;11;https://www.restoclub.ru/uploads/menufile/d/3/9/1/d391036805bdcb02bb4fe221b8cb9767.pdf;Сегодня до 05:00
Ресторан Iskra/Искра8.211 отзывов;ул. Большая Новодмитровская 36с9;Дмитровская;+7 (499) 409-16-29;неизвесно;8.2;11;https://www.restoclub.ru/uploads/menufile/1/0/1/5/10151a0c92a276df86d3c538f65f33ca.pdf;Сегодня до 23:00
Ресторан Вильям Басс;ул. М. Якиманка 9;Полянка;+7 (495) 778-18-74;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/f/6/1/f/f61fb996b4c26c9983a0a4ee1dbe217e.pdf;Откроется в 12:00
Кальянная Мята Мира Platinum/Мята Мира Платинум;пр. Мира 102к1;Алексеевская;+7 (495) 492-02-47;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/6/1/9/5/619598f34e0955dbbc7a568c50d5a360.pdf;Откроется в 12:00
Бар Nudles by Ivleeva/Нюдлс9.6128 отзывов;пер. Столешников 8;Тверская;+7 (495) 320-40-10;неизвесно;9.6;128;https://www.restoclub.ru/uploads/menufile/e/6/5/c/e65c6876218183e10a13cffa2ff8c1bc.pdf;Откроется в 12:00
Кафе StandUp Cafe/Стендап кафе7.04 отзыва;ул. Покровка 16;Китай-город;+7 (495) 120-46-04;неизвесно;7.0;4;https://www.restoclub.ru/uploads/menufile/4/e/9/c/4e9c8563554ed99dd13fd903138e0d08.pdf;Сегодня до 00:00
Ресторан «М2 Органик » Зиларт/М2 Органик клаб103 отзыва;ул. Архитектора Щусева 3;ЗИЛ;+7 (495) 121-47-24;неизвесно;10;3;https://www.restoclub.ru/uploads/menufile/c/0/5/f/c05fd0a0ecd78ce46f7a5acf6d1aedb4.pdf;Сегодня до 23:00
Паб Джон Булл107 отзывов;Красная Пресня 25;Краснопресненская;+7 (499) 252-55-40;неизвесно;10;7;https://www.restoclub.ru/uploads/menufile/8/a/b/a/8ababe90079afb4dbb30dad1356923d5.pdf;Сегодня до 00:00
Ресторан Anchovy’s Club/Анчовис Клаб9.429 отзывов;Колокольников переулок 3/2;Трубная;+7 (936) 888-45-55;неизвесно;9.4;29;https://www.restoclub.ru/uploads/menufile/b/e/5/3/be5338823e195c101776ea3e7400e576.pdf;Сегодня до 00:00
Ресторан Бункер-42104 отзыва;пер. 5-й Котельнический 11;Таганская;+7 (495) 492-02-89;неизвесно;10;4;https://www.restoclub.ru/uploads/menufile/8/8/0/7/8807f30341a34368cda0de66fbcbe6a5.pdf;Сегодня до 23:00
Паб Dungeon Pub/Данжн Паб8.36 отзывов;ул. Малая Почтовая 2/2с1;Бауманская;+7 (903) 104-59-78;неизвесно;8.3;6;https://www.restoclub.ru/uploads/menufile/e/4/8/c/e48c40be47f1d7da764693a33b17e343.jpeg;Сегодня до 00:00
Лаунж Мята Platinum Сердце Столицы/Мята платинум сердце столицы9.887 отзывов;Шелепихинская наб. 34, к.2;Шелепиха;+7 (958) 538-42-82;неизвесно;9.8;87;https://www.restoclub.ru/uploads/menufile/9/e/c/2/9ec266b7d7b7102a8ba59c45cf2d86e0.pdf;Сегодня до 03:00
Лаунж Cactus J./Кактус8.819 отзывов;ул. Шаболовка 59 к1А;Шаболовская;+7 (903) 297-36-04;неизвесно;8.8;19;https://www.restoclub.ru/uploads/menufile/c/1/5/2/c152497cd857952a3de616e480b84180.pdf;Сегодня до 03:00
Кальянная Cactus J./Кактус джей106 отзывов;Комсомольский просп. 24, стр. 1;Фрунзенская;+7 (968) 052-02-22;неизвесно;10;6;https://www.restoclub.ru/uploads/menufile/b/c/2/f/bc2fdbdeb9930e51116606aa280475e6.pdf;Сегодня до 05:00
 Zanoza/Заноза;Весковский пер. 7;Новослободская;+7 (499) 552-44-58;неизвесно;неизвесно;неизвесно;https://www.restoclub.ru/uploads/menufile/b/1/5/c/b15c86f50ed70eaece02c3e16e81b9e3.pdf;Откроется в 22:00
Рюмочная Довлатов9.214 отзывов;ул. Покровка 50/2, с.2;Курская;+7 (495) 859-34-97;неизвесно;9.2;14;https://www.restoclub.ru/uploads/menufile/5/f/6/1/5f61d24f5333a81b77131f1b026b20f2.pdf;Откроется в 12:00
Ресторан Mitzva Bar/Мицва Бар7.891 отзыв;ул. Пятницкая 3/4;Новокузнецкая;+7 (925) 059-25-01;неизвесно;7.8;91;https://www.restoclub.ru/uploads/menufile/b/f/9/a/bf9ae2f4a9ddf8cbd083a2fd8760e8e4.pdf;Откроется в 18:00
Ресторан Павлин 2.09.93 отзыва;ул. Бакунинская 71;Электрозаводская;+7 (495) 488-71-84;неизвесно;9.9;3;https://www.restoclub.ru/uploads/menufile/9/2/0/7/92071415fd0e612e500f797b28975701.pdf;Сегодня до 00:00
Ресторан Зеленая собака9.110 отзывов;ул. Кузнецкий Мост 3с2;Кузнецкий Мост;+7 (968) 693-47-87;неизвесно;9.1;10;https://www.restoclub.ru/uploads/menufile/0/5/9/4/05947b5e05775aceedfc5af1af5f8ada.pdf;Откроется в 18:00
Бар The Perch/Перч9.98 отзывов;ул. Новорязанская 26 с.1;Комсомольская;+7 (495) 135-12-11;неизвесно;9.9;8;неизвесно;Откроется в 21:00
