Название бара;Переход на другую страницу;Метро
Руки ВВерх! Бар на Тверской;https://www.restoclub.ru/msk/place/ruki-vverh-bar-1;Тверская
Свобода-2;https://www.restoclub.ru/msk/place/svoboda-2-1;Кузнецкий Мост
Nebar;https://www.restoclub.ru/msk/place/nebar-2;Добрынинская
Burlesque;https://www.restoclub.ru/msk/place/burlesque;Полежаевская
Dukh Страстной;https://www.restoclub.ru/msk/place/dukh-strastnoj;Тверская
Dukh Никитская;https://www.restoclub.ru/msk/place/dukh-nikitskaja;Арбатская
Dukh Лубянка;https://www.restoclub.ru/msk/place/duch-lubjanka;Чистые пруды
On the Rocks;https://www.restoclub.ru/msk/place/on-the-rocks;Чеховская
Настойкин;https://www.restoclub.ru/msk/place/nastojkin;Красносельская
Buddy McDaniel;https://www.restoclub.ru/msk/place/buddymcdaniel;Курская
Viva x Adventura;https://www.restoclub.ru/msk/place/viva-x-adventura;Китай-город
Шашлыкоff;https://www.restoclub.ru/msk/place/shashlykoff-5;Кузнецкий Мост
Smoke Dog;https://www.restoclub.ru/msk/place/smoke-dog;Тульская
Дымзавод Рассвет;https://www.restoclub.ru/msk/place/dymzavod-rassvet;Улица 1905 года
The Perch;https://www.restoclub.ru/msk/place/the-perch;Новокузнецкая
MT Music Bar;https://www.restoclub.ru/msk/place/mumij-troll;Арбатская
Трели;https://www.restoclub.ru/msk/place/treli;Аэропорт
Timeless Москва-Сити;https://www.restoclub.ru/msk/place/timeless-moskva-siti;Деловой центр
Ян Примус;https://www.restoclub.ru/msk/place/jan-primus-3;Бауманская
Iskra;https://www.restoclub.ru/msk/place/iskra;Дмитровская
Вильям Басс;https://www.restoclub.ru/msk/place/viljam-bass;Полянка
Мята Мира Platinum;https://www.restoclub.ru/msk/place/mjata-mira-platinum;Алексеевская
Nudles by Ivleeva;https://www.restoclub.ru/msk/place/nudles;Тверская
StandUp Cafe;https://www.restoclub.ru/msk/place/standup-cafe;Китай-город
«М2 Органик Клуб» Зиларт;https://www.restoclub.ru/msk/place/m2-organic-club;ЗИЛ
Джон Булл;https://www.restoclub.ru/msk/place/dzhon-bull-1;Краснопресненская
Anchovy’s Club;https://www.restoclub.ru/msk/place/anchovys-club;Трубная
Бункер-42;https://www.restoclub.ru/msk/place/bunker-42;Таганская
Dungeon Pub;https://www.restoclub.ru/msk/place/dungeon-pub;Бауманская
Мята Platinum Сердце Столицы;https://www.restoclub.ru/msk/place/mjata-signature-serdce-stolicy;Шелепиха
Cactus J.;https://www.restoclub.ru/msk/place/cactus-j;Шаболовская
Cactus J.;https://www.restoclub.ru/msk/place/cactus-j-1;Фрунзенская
Zanoza;https://www.restoclub.ru/msk/place/zanoza-1;Новослободская
Довлатов;https://www.restoclub.ru/msk/place/dovlatov-1;Курская
Mitzva Bar;https://www.restoclub.ru/msk/place/mitzva-bar;Новокузнецкая
Павлин 2.0;https://www.restoclub.ru/msk/place/pavlin-2-0;Электрозаводская
Зеленая собака;https://www.restoclub.ru/msk/place/zelenaja-sobaka-1;Кузнецкий Мост
The Perch;https://www.restoclub.ru/msk/place/the-perch-2;Комсомольская
Amara Platinum;https://www.restoclub.ru/msk/place/amara-platinum;Дубровка
Heritage;https://www.restoclub.ru/msk/place/heritage;Динамо
